_id,WEIGHT,TIMESTAMP,TYPE,SYNC,SYNC_QQHEALTH,TIME_ZONE,FAT_PERCENTAGE,SOURCE,IMPEDANCE,BMI,HEIGHT,BODY_FAT,MUSCLE,BODY_SHAPE_TYPE,MOISTURE,BASAL_METABOLISM,VISCERAL_FAT,BONE_MASS,SCORE,DEVICE_ID,USER_ID
1463867538000,71.9000015258789,1463867538000,0,1,,,,101,,,,,,,,,,,,,-1
1463902028000,70.5999984741211,1463902028000,0,1,,,,101,,,,,,,,,,,,,-1
1463972325000,70.80000305175781,1463972325000,0,1,,,,101,,,,,,,,,,,,,-1
1464023434000,71.4000015258789,1464023434000,0,1,,,,101,,,,,,,,,,,,,-1
1464059636000,70.80000305175781,1464059636000,0,1,,,,101,,,,,,,,,,,,,-1
1464147035000,69.30000305175781,1464147035000,0,1,,,,101,,,,,,,,,,,,,-1
1464313479000,70.4000015258789,1464313479000,0,1,,,,101,,,,,,,,,,,,,-1
1464419340000,69.5999984741211,1464419340000,0,1,,,,101,,,,,,,,,,,,,-1
1464465871000,69.30000305175781,1464465871000,0,1,,,,101,,,,,,,,,,,,,-1
1464505766000,69.30000305175781,1464505766000,0,1,,,,101,,,,,,,,,,,,,-1
1464545368000,70.19999694824219,1464545368000,0,1,,,,101,,,,,,,,,,,,,-1
1464577474000,69.19999694824219,1464577474000,0,1,,,,101,,,,,,,,,,,,,-1
1464664459000,70.4000015258789,1464664459000,0,1,,,,101,,,,,,,,,,,,,-1
1464720416000,71.0999984741211,1464720416000,0,1,,,,101,,,,,,,,,,,,,-1
1464750836000,70.5999984741211,1464750836000,0,1,,,,101,,,,,,,,,,,,,-1
1464805934000,70.5999984741211,1464805934000,0,1,,,,101,,,,,,,,,,,,,-1
1464837026000,70.5999984741211,1464837026000,0,1,,,,101,,,,,,,,,,,,,-1
1464930535000,70.19999694824219,1464930535000,0,1,,,,101,,,,,,,,,,,,,-1
1464990853000,71.19999694824219,1464990853000,0,1,,,,101,,,,,,,,,,,,,-1
1465078697000,73.4000015258789,1465078697000,0,1,,,,101,,,,,,,,,,,,,-1
1465114658000,70.80000305175781,1465114658000,0,1,,,,101,,,,,,,,,,,,,-1
1465149072000,71.9000015258789,1465149072000,0,1,,,,101,,,,,,,,,,,,,-1
1465182866000,70.80000305175781,1465182866000,0,1,,,,101,,,,,,,,,,,,,-1
1465183101000,71.19999694824219,1465183101000,0,1,,,,101,,,,,,,,,,,,,-1
1465235313000,71.19999694824219,1465235313000,0,1,,,,101,,,,,,,,,,,,,-1
1465268393000,70,1465268393000,0,1,,,,101,,,,,,,,,,,,,-1
1465321925000,70.30000305175781,1465321925000,0,1,,,,101,,,,,,,,,,,,,-1
1465354942000,70.4000015258789,1465354942000,0,1,,,,101,,,,,,,,,,,,,-1
1465441159000,70.4000015258789,1465441159000,0,1,,,,101,,,,,,,,,,,,,-1
1465441563000,70.5,1465441563000,0,1,,,,101,,,,,,,,,,,,,-1
1465486030000,71,1465486030000,0,1,,,,101,,,,,,,,,,,,,-1
1465527836000,70.5,1465527836000,0,1,,,,101,,,,,,,,,,,,,-1
1465580150000,70.80000305175781,1465580150000,0,1,,,,101,,,,,,,,,,,,,-1
1465629401000,70,1465629401000,0,1,,,,101,,,,,,,,,,,,,-1
1465681270000,71.0999984741211,1465681270000,0,1,,,,101,,,,,,,,,,,,,-1
1465713912000,70.19999694824219,1465713912000,0,1,,,,101,,,,,,,,,,,,,-1
1465752886000,71.30000305175781,1465752886000,0,1,,,,101,,,,,,,,,,,,,-1
1465786136000,70.4000015258789,1465786136000,0,1,,,,101,,,,,,,,,,,,,-1
1465841440000,71.4000015258789,1465841440000,0,1,,,,101,,,,,,,,,,,,,-1
1465875351000,71,1465875351000,0,1,,,,101,,,,,,,,,,,,,-1
1465924439000,71,1465924439000,0,1,,,,101,,,,,,,,,,,,,-1
1465960040000,70.30000305175781,1465960040000,0,1,,,,101,,,,,,,,,,,,,-1
1466007090000,71.0999984741211,1466007090000,0,1,,,,101,,,,,,,,,,,,,-1
1466046766000,70.4000015258789,1466046766000,0,1,,,,101,,,,,,,,,,,,,-1
1466096375000,70.69999694824219,1466096375000,0,1,,,,101,,,,,,,,,,,,,-1
1466132934000,71.0999984741211,1466132934000,0,1,,,,101,,,,,,,,,,,,,-1
1466188122000,70.80000305175781,1466188122000,0,1,,,,101,,,,,,,,,,,,,-1
1466231953000,69.9000015258789,1466231953000,0,1,,,,101,,,,,,,,,,,,,-1
1466275035000,71.19999694824219,1466275035000,0,1,,,,101,,,,,,,,,,,,,-1
1466317020000,70.0999984741211,1466317020000,0,1,,,,101,,,,,,,,,,,,,-1
1466352918000,71.4000015258789,1466352918000,0,1,,,,101,,,,,,,,,,,,,-1
1466390032000,70.80000305175781,1466390032000,0,1,,,,101,,,,,,,,,,,,,-1
1466440982000,71.4000015258789,1466440982000,0,1,,,,101,,,,,,,,,,,,,-1
1466478104000,70.5999984741211,1466478104000,0,1,,,,101,,,,,,,,,,,,,-1
1466528603000,71.19999694824219,1466528603000,0,1,,,,101,,,,,,,,,,,,,-1
1466565373000,70.4000015258789,1466565373000,0,1,,,,101,,,,,,,,,,,,,-1
1466613289000,70.80000305175781,1466613289000,0,1,,,,101,,,,,,,,,,,,,-1
1466651986000,69.80000305175781,1466651986000,0,1,,,,101,,,,,,,,,,,,,-1
1466707223000,71.5,1466707223000,0,1,,,,101,,,,,,,,,,,,,-1
1466784216000,71.5,1466784216000,0,1,,,,101,,,,,,,,,,,,,-1
